attempts,lightA,lightB,timeA,timeB,averages
1,10,10,126,126,126.0
2,10,10,119,129,124.0
3,10,10,125,129,127.0
4,10,10,131,91,111.0
5,10,10,125,129,127.0
6,10,10,125,131,128.0
7,20,15,100,115,107.5
